Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
BON_B09-8_1	60903022.0	202.0	56517319.0	92.8	199.96	44634897.0	44634590.0	44144150.0	457533.0	22273.0	10941.0	0.49	0.01	1.77	0.0	1.52	3406847.0	5.59	3387.0	0.01	0.05	0.49	0.06	81289	796633	97547
BON_B09-9_CHX_2	69504061.0	202.0	65059921.0	93.61	200.69	55628147.0	55627731.0	55109474.0	460460.0	39816.0	18397.0	0.19	0.0	1.98	0.01	1.72	3776439.0	5.43	12777.0	0.02	0.01	0.18	0.09	23390	421023	210511
BON_B14_48_CHX-_1	122444759.0	202.0	112107347.0	91.56	200.66	107324783.0	107324053.0	106338362.0	858372.0	91932.0	36117.0	0.16	0.01	1.82	0.01	1.55	8660936.0	7.07	12311.0	0.01	0.01	0.52	0.05	28692	1492010	143462
BON_B14_48_CHX_1	154508814.0	202.0	143634164.0	92.96	200.66	111860942.0	111859161.0	110486107.0	1225388.0	105706.0	43741.0	0.17	0.01	1.95	0.01	1.61	9316762.0	6.03	34457.0	0.02	0.02	0.27	0.07	84635	1142573	296223
BON_B15-95_CHX_1	78710329.0	202.0	73084079.0	92.85	200.06	56023485.0	56022905.0	55515635.0	450920.0	40605.0	16325.0	0.5	0.01	1.95	0.01	1.61	4989383.0	6.34	17120.0	0.02	0.02	0.21	0.08	39984	419829	159935
BON_B16-108_CHX-_1	144326455.0	202.0	133727700.0	92.66	200.72	126610149.0	126609018.0	125409339.0	1059346.0	104724.0	36740.0	0.16	0.01	1.92	0.01	1.65	9029573.0	6.26	16351.0	0.01	0.01	0.31	0.05	41968	1301021	209842
BON_B16-108_CHX_1	120257858.0	202.0	112128327.0	93.24	200.52	85516916.0	85515350.0	84495235.0	914437.0	75828.0	31416.0	0.18	0.01	1.91	0.01	1.66	6691182.0	5.56	23891.0	0.02	0.02	0.39	0.07	58936	1149247	206275
BON_B16-38	46393269.0	202.0	42245316.0	91.06	200.08	35204678.0	35204349.0	34854071.0	317632.0	14369.0	18606.0	0.19	0.01	1.52	0.0	1.59	2501567.0	5.39	3124.0	0.01	0.12	1.3	0.07	132343	1433719	77200
BON_B17-54_1	72120430.0	202.0	66050368.0	91.58	200.87	59761536.0	59761299.0	59239143.0	451710.0	54108.0	16575.0	0.27	0.01	2.01	0.01	1.54	5384595.0	7.47	4899.0	0.01	0.02	0.33	0.05	34028	561469	85071
BON_B18-23_CHX_1	69578158.0	202.0	65091525.0	93.55	200.13	51125853.0	51125187.0	50604453.0	467735.0	36811.0	16854.0	0.5	0.01	1.91	0.01	1.52	3885346.0	5.58	18054.0	0.03	0.02	0.2	0.08	38882	388822	155529
BON_B18-37_1	54528154.0	202.0	50614759.0	92.82	200.78	43977691.0	43977510.0	43559942.0	374136.0	29448.0	14165.0	0.29	0.01	1.89	0.01	1.5	3277866.0	6.01	4019.0	0.01	0.02	0.28	0.06	35084	491174	105252
BON_B18-70_1	69842774.0	202.0	65252442.0	93.43	200.79	53296999.0	53296652.0	52711535.0	541655.0	29740.0	14069.0	0.2	0.01	1.75	0.0	1.61	3769297.0	5.4	5589.0	0.01	0.03	0.34	0.08	54363	616115	144968
BON_B18_65_CHX_1	37912087.0	202.0	34758826.0	91.68	200.53	27470050.0	27469552.0	27219045.0	223562.0	17968.0	9475.0	0.18	0.01	1.92	0.01	1.57	2786950.0	7.35	9513.0	0.03	0.02	0.22	0.1	20988	230869	104941
BON_B19-03_CHX_1	44163570.0	202.0	40981680.0	92.8	200.57	32734014.0	32733678.0	32438356.0	256206.0	27498.0	11954.0	0.17	0.01	1.81	0.01	1.66	2706729.0	6.13	7774.0	0.02	0.02	0.23	0.06	30154	346771	90462
BON_B19-45_CHX_1	69449646.0	202.0	65066470.0	93.69	200.17	48954235.0	48953003.0	48451788.0	441689.0	42419.0	18339.0	0.52	0.01	1.87	0.01	1.54	3841306.0	5.53	10867.0	0.02	0.04	0.2	0.07	68517	342583	119904
BON_B19-52_CHX_1	43080096.0	202.0	39760491.0	92.29	200.58	32835357.0	32835058.0	32503232.0	296223.0	24542.0	11360.0	0.15	0.01	1.94	0.01	1.58	2843893.0	6.6	8881.0	0.02	0.01	0.3	0.09	11671	350123	105037
BON_B19-54_CHX_1	69481782.0	202.0	64518789.0	92.86	200.17	50533317.0	50532857.0	49973652.0	508918.0	35307.0	15440.0	0.46	0.01	2.06	0.01	1.54	4466597.0	6.43	11541.0	0.02	0.02	0.21	0.05	34633	363641	86581
BON_B19-57_1	61575123.0	202.0	57430158.0	93.27	200.01	41362259.0	41361819.0	40895778.0	432574.0	22837.0	11070.0	0.51	0.0	1.62	0.0	1.47	3299852.0	5.36	3468.0	0.01	0.03	0.34	0.07	57385	650362	133898
BON_B19-59_CHX_1	72242163.0	202.0	67061246.0	92.83	200.13	50765664.0	50764852.0	50232078.0	475682.0	40265.0	17639.0	0.49	0.01	1.97	0.01	1.57	4640575.0	6.42	14741.0	0.02	0.04	0.18	0.07	72497	326235	126869
BON_B20-13_1	73627598.0	202.0	69127296.0	93.89	200.59	52588699.0	52588297.0	52058273.0	481282.0	23835.0	25309.0	0.2	0.01	1.76	0.0	1.61	3505561.0	4.76	7097.0	0.01	0.03	0.43	0.08	54869	786457	146318
BON_B20_36_CHX_1	48436275.0	202.0	43294912.0	89.39	200.43	35684902.0	35684445.0	35341901.0	302167.0	27702.0	13132.0	0.17	0.01	1.88	0.01	1.62	3758372.0	7.76	6761.0	0.01	0.38	1.61	0.07	253868	1075597	46765
BON_FC2_CHX-_1	100069096.0	202.0	91426066.0	91.36	200.8	83472971.0	83472363.0	82639365.0	744002.0	66306.0	23298.0	0.16	0.0	1.84	0.01	1.65	7497749.0	7.49	19812.0	0.02	0.01	0.31	0.05	30418	942961	152090
BON_FC2_CHX_1	169367418.0	202.0	157034603.0	92.72	200.45	125761492.0	125759580.0	124090857.0	1513235.0	110067.0	47333.0	0.16	0.01	1.86	0.01	1.58	10390498.0	6.13	22416.0	0.01	0.01	0.29	0.05	54854	1590775	274272
BON_UC355_CHX_1	80275660.0	202.0	75357464.0	93.87	200.56	64509337.0	64508661.0	63766850.0	676134.0	43521.0	22832.0	0.19	0.0	1.98	0.0	1.68	4117017.0	5.13	11436.0	0.01	0.02	0.19	0.12	47863	454701	287179
BON_UC522_1	63396717.0	202.0	59678675.0	94.14	200.44	51894646.0	51894404.0	51413751.0	426667.0	40119.0	14109.0	0.36	0.01	1.92	0.01	1.54	2894545.0	4.57	3511.0	0.01	0.03	0.32	0.06	59999	639989	119998
MAN_0694_01	31641424.0	202.0	17471925.0	55.22	200.67	14230024.0	14229797.0	14147649.0	74699.0	4763.0	2913.0	0.22	0.01	2.19	0.0	1.67	13464804.0	42.55	2866.0	0.01	0.02	1.89	0.08	7054	666561	28214
RGP_1214_3_M1	54370651.0	202.0	50700498.0	93.25	201.04	47823395.0	47823190.0	47388849.0	404997.0	18829.0	10720.0	0.15	0.0	1.56	0.0	1.57	2735074.0	5.03	2531.0	0.0	0.01	0.63	0.07	13134	827472	91941
RGP_800_3_3	148051492.0	202.0	137108848.0	92.61	200.68	115803710.0	115802856.0	114591227.0	1123560.0	52879.0	36044.0	0.19	0.01	1.49	0.0	1.52	8470981.0	5.72	8523.0	0.01	0.01	0.32	0.07	61578	1970512	431050
